schema_version,source_id,source_sha256,evidence_source_id,reference_period,observation_status,source_locator,transformation_id,table,measure,event_date_definition,geography,population_universe,unit,denominator,suppression_semantics,reporting_regime,known_exclusions,cited_source_id,cited_source_sha256,cited_source_retrieved_at,cited_source_version
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;CasesDailyNewConfirmedCases;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,daily_new_confirmed_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;CasesTotalConfirmedPositiveCases;CasesPositiveCasesIdentifiedPriorto1July2020;CasesPositiveCasesIdentifiedSince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,cumulative_confirmed_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;CasesSymptomatic;CasesPositiveCasesIdentifiedPriorto1July2020;CasesPositiveCasesIdentifiedSince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,symptomatic_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;CasesAsymptomatic;CasesPositiveCasesIdentifiedPriorto1July2020;CasesPositiveCasesIdentifiedSince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,asymptomatic_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;CasesCurrentKnownActiveCases;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,current_known_active_cases,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,cases,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;CasesSeven7DayNumberper100000; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,seven_day_rate_per_100k,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,per_100000,unknown,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;TestsTotaltests;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,cumulative_tests,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;TestsReasonfortestseekinghealthcaresymptomatic;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,tests_reason_symptomatic,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;TestsReasonforTestInboundTravel;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,tests_reason_inbound_travel,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
1.0,epi_measure_dictionary_manual_fixture,024e9005a6633b7464e9b922aa4a1341ee79ef56e08689a3c1560ef7c0fc34a5,,2020-07-30/2023-02-01,observed,covid19_daily_surveillance_csv:Date;TestsReasonforTestOnIslandSurveillanceScreening;TestsTotalsamplestestedpriorto1July2020;TestsTotalsamplestestedsince1July2020; data/sources.yaml:covid19_daily_surveillance_csv.title,manual_dictionary_transcription_v1,covid_daily_surveillance,tests_reason_on_island_screening,unknown,"Jersey (registry title: ""COVID-19 daily surveillance extract (legacy ListOpenData COVID19 list)"")",unknown,tests,not applicable,blank or -1 -> not_reported; '<N' -> positive_less_than with upper_bound N; no suppression observed in this source (positive_less_than rows in built table: 0),"the frozen file splits tests and cases into columns named ""...priorto1July2020"" and ""...since1July2020"" (column names cited); the reason for the split is not stated: unknown",TestsTotalNegativeTests excluded (SharePoint float;# rendering),covid19_daily_surveillance_csv,ea51daa689a851af6fedb45e1520abfc235bc350113cbde1cd49b880d7aa512b,2026-09-03,2020-07-30/2023-02-01
